convenience,supermarket,car_repair,hardware,chemist,hairdresser,bakery,car_parts,electronics,alcohol,beverages,department_store,beauty,funeral_directors,motorcycle,Location,Date_Extracted,car,pawnbroker,clothes,computer,water,ticket,books,shoes,doityourself,mobile_phone,mall,boutique,bicycle,travel_agency,laundry,variety_store,butcher,radiotechnics,optician,general,bookmaker,stationery,tyres,trade,copyshop,furniture,sports,locksmith,greengrocer,garden_centre,appliance,yes,hifi,religion,pastry,wholesale,gift,company,tailor,newsagent,kiosk,massage,food,tea,vulcanizing,fashion,money_lender,photo,weapons,money_transfer,second_hand,chocolate,rice,watches,farm,confectionery,tire_repair,general_store,florist,seafood,tattoo,pet,printing,motorcycle_parts,lottery,cosmetics,scuba_diving,printer_ink,gas,fashion_accessories,motorcycle_repair,cell_phones,resturaunt,security,e-cigarette,collector,musical_instrument,tiles,trophy,jewelry,party,health_food,erotic,"beauty, hairdresser",sgift,deli,paint,agrarian,atv,outdoor,grocery,vacant,storage_rental,security_dogs,Heavy Equipment Repair Shop,souvenir,surf,coffee,toys,candles,water_refilling_station,art,houseware,medical_supply,fabric,lighting,herbalist,telecommunication,animal_supply,perfumery,wine,water_station,pro_shop,medical,model,bed,country_store,music,service_center,bag,hydraulic_hose,interior_decoration,flooring,Agri of Batangas,public_market,rental,glaziery,nutrition_supplements,salisali store,bottle_shop,shoe_repair,curtain,tobacco,frozen_food,craft,sunglasses,Equipment,baby_goods,camera,doors,leather,Baguio_Products_Souvenir_Shop,machine_shop,swimming_pool,video_games,sewing,outpost,electrical,surplus,Ballmill_maker,fishing,repair,photo_studio,dry_cleaning,no,emission_testing,water refilling,upholstery,storage,bakery;department_store,Car Aircon,antiques,native_products,corn_rice_mill,truck,pet_grooming,kitchen,eggs,variety,mattress,auction,courier,advertising,vulcanizing_shop,junk_yard,hairdresser_supply,hvac,fuel,office_supplies,spa,barber,cheese,Tire dealer,supermarket;department_store,dairy,Surplus,electronics;mobile_phone,postal_courier,sanitation;pest_control,hearing_aids,tattoo;tea,honey,water_supply,household_linen,charity,school supply,pharmacy,dive,balloons,electrical_repair,load_outlet,sharpener,Resthouse,specialty_food,welding,metal_fabricator,catering,empty drums,takeway,upholstery_shop,baking_supplies,bubble_tea_supplies,ice,video,frame,Plumbing Supply And Services,car_accessories,CBG,Concept_Store,Heavy_equipment_Supplier,Novelty Store,For Sale,Teodor Service Center,games,ticketing,business_center,animal_health,funeral_service,pet_supply,hardware;trade,water_refilling,Electrical_Computer_Cafe_Convenience_Store,pottery,towing,computer_repair,Woodcraft,motorcycle;motorcycle_repair,appliance;agrarian,Auto_Chemistry_Shop,insurance,gun,window_blind,school_supplies,power_tools,internet_cafe,Pretty Kay Trading,lending,corn/rice mill,commercial,junkshop,restaurant,lumber,clothes;hairdresser,"computer,_mobile_phone,_gadgets",ship_chandler,drinks,public market,printing shop,"clothes,_gluta",Vulcanizing,electronics;motorcycle;computer;confectionery;bakery,hobby,"printing_shop,_school_supplies,_photocopy,_lamination,_tarpaulin,_computer_servicing",scooter,military equipment,photography,public_building,tube_ice,pest_control,agrivet,"clothes,_Shoe,_Sandals,_Slappers,_ETC.",hunting,???,truck_repair,"laundry_shop_,_Pasalubong_shop",bottle,carpet,fish_monger,farm_supply,machine,Wensha Healthy Drinking Water,wood_carving,Internet Shop,anime,Water Station,Trade (Betis House of Decor),RJA Lumber and Hardware,energy,"repair, welding, junk shop",trade;laundry,tractor,guns,shoes;motorcycle,glass_and_aluminum,helmet,Kasiglahan Market,military_surplus,etc_shop,tofu,bridal,Fruits and Vegetable Section,fish,party_needs,communication,Printing_/_Copy_Shop_/_Tarpaulin_Printing,estate_agent,sewing_machine,aluminum and glass,business_service,lawyer,cottage_food,cottage_shop,charcoal,wellness,utilities,nuts,Private,vacuum_cleaner,Exotic Foods,Coffee Project,hardware;bicycle,appliance;motorcycle,school_supplies_store,MilkTea_Shop,water_sports,electronics repair,roof,electronics_repair,solar,tatto,motor,soap,print,printing_shop
761,199,184,204,20,128,236,110,50,1,29,59,72,37,168,Cavite,01/09/2023,71,165,98,52,72,1,26,24,80,28,77,2,84,12,83,84,32,2,21,86,2,7,32,166,27,72,13,,30,18,10,31,14,1,16,4,5,,11,,32,49,1,29,3,1,16,9,1,,14,2,6,1,11,22,,,25,5,5,37,22,13,22,13,,1,21,1,12,,,2,16,,,1,,2,4,3,,,,,20,9,,10,2,1,,,,,,2,4,1,,4,3,5,1,1,3,5,1,2,2,,,,,2,,2,,3,,1,,,,1,,3,,,1,2,,2,,,,2,,2,,,,,1,3,,,,,,1,,,6,,,,,,,,,,11,3,2,1,,,,,3,,,,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,147,52,130,13,53,313,27,39,5,9,54,44,22,107,Cebu,01/09/2023,86,215,72,37,43,49,9,14,37,11,98,,37,29,101,23,18,,4,16,3,6,15,6,9,24,11,,6,2,10,32,4,1,11,3,20,,5,1,21,46,2,2,2,,11,7,1,,3,,,,4,7,,,6,9,8,19,3,11,8,10,21,,6,1,4,,,,3,,6,,,7,,3,1,,,4,,6,,7,,1,1,,,,,11,2,,,,12,1,,1,1,2,2,,2,,,,1,3,,1,,,,1,,,,,,,,,2,,,2,,,,,,,,,,2,,,,2,,,,1,,17,2,,,,,,,1,,,1,1,2,,,,,,,,,,,3,,,,,,,1,,,,,,,,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7,2,7,,,9,,2,,1,6,,5,2,Compostela Valley,01/09/2023,3,5,1,2,1,,,,,,2,1,2,4,,2,,,,1,1,1,5,1,1,1,,,1,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,19,6,7,,1,27,,6,,4,7,4,14,23,Davao del Norte,01/09/2023,9,2,9,5,4,,2,1,2,2,9,,4,1,6,6,3,,,5,,,7,,,7,,,5,,1,2,,,,1,2,,,,1,1,,,,,3,2,,,1,,,,2,2,,,1,,,3,1,,,,,,,,3,,,,,,,,,1,,,,,,,1,5,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,67,133,124,8,41,169,44,38,3,19,45,23,32,66,Davao del Sur,01/09/2023,53,96,29,35,30,3,18,3,21,5,25,1,34,10,36,71,14,,4,9,1,4,49,4,23,51,4,,33,9,6,13,1,,4,2,7,,7,1,30,23,,1,1,,5,3,4,,,1,,,8,17,,,3,4,3,14,1,,10,10,2,1,5,6,2,,,,3,,,,,6,,3,,,,3,5,3,,10,1,,1,,,,,3,2,,,3,1,1,3,2,,,,,2,,,,1,,,3,,1,,,,,,1,1,1,,,,2,,1,,,,1,,,,,,,2,,,,,,,1,,,1,,,,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,3,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,16,3,4,1,1,3,,,,2,2,,5,9,Davao Oriental,01/09/2023,,5,1,,2,1,,,1,2,2,,,,1,5,,,,,3,,1,,,,,,,,,2,,,,,3,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,,,2,,,,,,,,,Dinagat Islands,01/09/2023,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,,24,3,1,17,2,6,1,1,5,5,,1,Eastern Samar,01/09/2023,,6,1,1,1,1,1,,1,1,2,,1,,1,5,1,,1,,,,1,,,1,1,,2,,,1,,,,,3,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,,1,2,1,,,,1,,1,1,Guimaras,01/09/2023,,6,2,1,1,,,,,1,1,,1,1,,3,,,,1,,,,,,,,,,,1,,,,,,2,,,,,1,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,1,6,,,5,1,1,,,,,,1,Ifugao,01/09/2023,,,,1,1,5,,,,1,,,1,1,1,4,,,,1,,,,,,2,,,1,1,1,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,10,6,20,,7,15,8,3,3,7,5,3,2,9,Ilocos Norte,01/09/2023,7,18,7,3,3,2,4,1,2,7,5,,,1,1,2,3,,,31,,1,,17,6,,,,1,,1,,,,1,,1,,1,,4,1,,1,3,,,,,,,,,,,1,,,1,,,1,,,1,,,,3,,3,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,22,13,24,2,7,21,6,5,1,2,16,3,4,36,Ilocos Sur,01/09/2023,1,31,7,5,1,,3,2,2,3,8,1,3,1,,33,1,,5,8,,1,2,35,1,11,,,,2,1,3,,,1,,21,,5,,2,1,,1,,,,1,,,,,,,,4,,,1,1,1,,,1,3,3,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,100,69,77,6,14,146,32,32,1,11,28,16,18,58,Iloilo,01/09/2023,60,69,20,16,42,14,6,5,23,11,31,6,116,9,17,36,15,,5,4,1,,23,19,12,20,4,,3,2,9,6,2,1,2,1,21,,2,,11,6,1,,,1,5,5,1,,2,1,4,,2,10,,,5,11,3,9,2,3,5,9,,1,3,,1,,,,1,,,,,4,1,,4,,,1,2,4,,4,,,,,,,,,4,1,,,1,1,1,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,32,6,13,2,1,16,4,1,,1,5,1,3,1,Isabela,01/09/2023,15,6,1,4,1,,3,1,4,,16,,3,2,1,10,1,,,4,,2,2,,,1,,,,,1,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,3,,,3,4,,,,3,,,,Kalinga,01/09/2023,2,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,16,54,11,3,10,23,38,6,1,1,4,9,21,67,La Union,01/09/2023,11,61,10,6,17,,3,3,11,4,9,3,20,,8,93,7,,6,2,,2,4,94,1,16,2,,4,,11,8,,,11,2,5,,1,,2,2,,1,,,8,3,,,,,1,,,,,,,16,1,4,,8,,2,,,10,,6,,,,,,,,,,,,,,,,7,1,,14,1,,,,,,,,,,,,2,3,3,1,1,,,,,,,,,,,2,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,323,81,239,24,100,231,56,56,9,14,44,78,45,115,Laguna,01/09/2023,70,124,151,32,60,12,39,32,44,71,42,7,29,14,49,52,27,2,18,33,,12,13,46,24,24,17,2,15,7,18,25,2,,9,3,25,,12,1,12,20,31,8,,1,20,13,2,,,,12,1,10,18,2,1,13,3,3,33,2,4,8,11,,1,9,,15,,,,11,,4,6,1,6,7,2,,,,3,10,12,,1,6,6,3,,,1,,2,3,1,,1,3,4,,,2,1,1,1,2,,,,,1,,4,,4,,,,,,3,2,1,,,2,,,2,2,,,1,,,,,,,2,1,,1,,,1,1,,1,,,,,,,,4,,,1,1,1,2,,,,,8,,,,1,1,,,,,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6,7,20,,3,24,2,6,49,1,7,4,4,17,Lanao del Norte,01/09/2023,5,22,6,6,12,2,1,1,3,,6,,2,1,4,4,2,,,9,,,3,8,3,3,,,,,3,,,,,,1,,,,,,,1,,,7,,,,,1,,,,1,,,,,,3,,,,4,,,7,,1,,,,,,,1,,3,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,1,9,,,10,1,,8,,3,1,,1,Lanao del Sur,01/09/2023,,5,2,1,,,,,,,,,1,1,1,2,,,1,,1,3,,,1,3,2,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,52,34,113,16,54,180,16,43,,5,33,40,17,48,Leyte,01/09/2023,21,61,73,40,25,15,11,20,12,42,22,3,14,10,33,47,37,,10,20,1,11,19,12,33,10,8,,7,4,5,11,2,1,4,1,7,,10,,34,8,2,2,1,,24,14,,,6,2,1,,,19,,,7,4,2,8,,1,15,5,,3,3,,9,,,,,,3,,,8,,,,,,1,6,16,,1,1,,,,,,,2,3,,,1,,3,,,,2,,,1,,,,,,,1,2,1,,2,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7,5,13,,1,9,,,,,5,2,1,,Maguindanao,01/09/2023,,8,3,2,4,,,,1,2,1,5,1,1,2,116,1,,1,,4,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,5,2,,6,1,,1,1,,1,,4,Marinduque,01/09/2023,,3,,1,1,,1,1,,,,,3,1,,,,,,,,1,,,,1,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,2,,,1,,1,,,,,,,Masbate,01/09/2023,,3,2,,1,1,1,,,1,2,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,2,14,,1,21,5,12,,16,8,1,6,1,Misamis Occidental,01/09/2023,12,6,6,1,2,,,2,2,,1,,1,,1,2,,,,,,2,2,1,2,2,,,4,,,,,,,,,,,,,,,,,,3,3,,,,,,,,1,,,1,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,3,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,39,32,67,5,19,76,18,15,51,3,12,10,12,38,Misamis Oriental,01/09/2023,31,60,23,24,23,3,12,2,15,8,15,1,10,8,15,5,15,1,,14,,1,6,8,3,13,3,,6,,1,6,3,1,4,1,4,,2,,1,8,1,1,,,3,3,,,2,,,,1,1,,,2,4,1,3,,,9,5,1,1,13,,4,,,,3,,,2,,1,,2,,,,1,7,1,,4,,,3,,,,,,2,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,3,4,,2,3,3,,,,2,,,2,Mountain Province,01/09/2023,,1,1,,2,2,,,,1,,,2,1,1,3,,,,1,,,,4,,2,,,1,,,7,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,61,18,31,3,7,64,7,26,3,9,26,10,14,32,Negros Occidental,01/09/2023,33,32,9,14,15,12,1,1,6,7,26,2,29,1,9,22,5,1,3,5,5,,8,4,6,8,,,10,,1,8,2,1,7,,11,,1,1,3,1,1,,,,10,4,1,,2,,,,2,7,,,3,11,,7,1,2,,4,4,1,4,1,1,,,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,1,,,,3,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,27,7,37,2,7,81,10,7,1,4,11,9,4,45,Negros Oriental,01/09/2023,18,41,16,7,7,24,1,2,7,8,7,2,13,14,24,4,,,4,28,,1,15,4,15,8,1,,3,2,7,18,,2,1,,3,,6,,5,15,1,2,,,4,5,,,2,,,,1,1,,,7,,,2,,2,42,2,5,,2,,6,,,,1,,1,,,1,,,,,,,,2,,1,,1,,,,,,2,1,,,3,4,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
